Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
75,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,16063.75,15764.00,1/5/2022 1:00:00 PM,1/5/2022 4:15:00 PM,Short1,ExitShortAtClose,$599.50,$13749.50,$0.00,$131.00,$609.00,$9.50,14,
76,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,15084.50,15114.25,2/2/2022 10:00:00 AM,2/2/2022 4:15:00 PM,Short1,ExitShortAtClose,($59.50),$13690.00,$0.00,$168.50,$286.50,$346.00,26,
77,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,2,14754.50,14616.00,2/3/2022 10:00:00 AM,2/3/2022 2:45:00 PM,Long1,Stop loss,($554.00),$13136.00,$0.00,$554.00,$354.00,$908.00,20,
78,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,2,14558.75,14680.50,2/4/2022 10:00:00 AM,2/4/2022 4:15:00 PM,Long1,ExitLongAtClose,$487.00,$13623.00,$0.00,$467.00,$1044.00,$557.00,26,
79,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,14577.75,14566.50,2/7/2022 12:00:00 PM,2/7/2022 4:15:00 PM,Short1,ExitShortAtClose,$22.50,$13645.50,$0.00,$298.50,$133.00,$110.50,18,
80,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,14668.50,14271.50,2/11/2022 10:00:00 AM,2/11/2022 2:30:00 PM,Short1,Profit target,$794.00,$14439.50,$0.00,$196.50,$794.00,$0.00,19,
81,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,2,14144.25,14011.25,3/3/2022 1:00:00 PM,3/3/2022 3:15:00 PM,Long1,Stop loss,($532.00),$13907.50,$0.00,$532.00,$201.00,$733.00,10,
82,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,14434.50,14505.75,4/6/2022 12:45:00 PM,4/6/2022 4:15:00 PM,Short1,ExitShortAtClose,($142.50),$13765.00,$0.00,$436.00,$78.00,$220.50,15,
83,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,14555.75,14543.25,4/7/2022 10:30:00 AM,4/7/2022 4:15:00 PM,Short1,ExitShortAtClose,$25.00,$13790.00,$0.00,$156.50,$475.00,$450.00,24,
84,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,3,12304.00,12274.50,5/26/2022 12:45:00 PM,5/26/2022 4:15:00 PM,Long1,ExitLongAtClose,($177.00),$13613.00,$0.00,$418.50,$237.00,$414.00,15,
85,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,11690.75,11673.25,6/28/2022 3:30:00 PM,6/28/2022 4:15:00 PM,Short1,ExitShortAtClose,$35.00,$13648.00,$0.00,$64.00,$47.00,$12.00,4,
86,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,11583.50,11689.00,6/29/2022 10:00:00 AM,6/29/2022 4:15:00 PM,Short1,ExitShortAtClose,($211.00),$13437.00,$0.00,$331.00,$39.00,$250.00,26,
87,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,3,11487.75,11534.75,6/30/2022 11:15:00 AM,6/30/2022 4:15:00 PM,Long1,ExitLongAtClose,$282.00,$13719.00,$0.00,$184.50,$1185.00,$903.00,21,
88,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,3,11556.00,11447.50,7/1/2022 10:15:00 AM,7/1/2022 10:30:00 AM,Long1,Stop loss,($651.00),$13068.00,$0.00,$651.00,$372.00,$1023.00,2,
89,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,3,11495.25,11612.75,7/1/2022 11:30:00 AM,7/1/2022 4:15:00 PM,Long1,ExitLongAtClose,$705.00,$13773.00,$0.00,$412.50,$807.00,$102.00,20,
90,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,11548.50,11550.50,7/4/2022 10:00:00 AM,7/4/2022 1:00:00 PM,Short1,Exit on session close,($4.00),$13769.00,$0.00,$52.50,$34.50,$38.50,13,
91,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,3,11554.25,11813.00,7/5/2022 11:00:00 AM,7/5/2022 4:15:00 PM,Long1,ExitLongAtClose,$1552.50,$15321.50,$0.00,$519.00,$1560.00,$7.50,22,
92,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,3,11679.25,11755.75,7/13/2022 10:15:00 AM,7/13/2022 4:15:00 PM,Long1,ExitLongAtClose,$459.00,$15780.50,$0.00,$487.50,$1051.50,$592.50,25,
93,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,3,11652.25,11799.75,7/14/2022 11:45:00 AM,7/14/2022 4:15:00 PM,Long1,ExitLongAtClose,$885.00,$16665.50,$0.00,$187.50,$1095.00,$210.00,19,
94,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,3,12676.25,12668.00,9/9/2022 2:45:00 PM,9/9/2022 4:15:00 PM,Long1,ExitLongAtClose,($49.50),$16616.00,$0.00,$235.50,$93.00,$142.50,7,
95,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,11638.00,11542.25,10/6/2022 10:15:00 AM,10/6/2022 4:15:00 PM,Short1,ExitShortAtClose,$191.50,$16807.50,$0.00,$62.00,$223.00,$31.50,25,
96,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,11283.25,11087.25,10/20/2022 11:00:00 AM,10/20/2022 4:15:00 PM,Short1,ExitShortAtClose,$392.00,$17199.50,$0.00,$86.50,$484.50,$92.50,22,
97,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,3,11155.50,11353.75,10/21/2022 10:15:00 AM,10/21/2022 4:15:00 PM,Long1,ExitLongAtClose,$1189.50,$18389.00,$0.00,$627.00,$1317.00,$127.50,25,
98,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,11159.00,10938.75,11/2/2022 3:15:00 PM,11/2/2022 4:15:00 PM,Short1,ExitShortAtClose,$440.50,$18829.50,$0.00,$171.50,$443.50,$3.00,5,
99,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,3,11451.00,11628.25,11/10/2022 10:15:00 AM,11/10/2022 4:15:00 PM,Long1,ExitLongAtClose,$1063.50,$19893.00,$0.00,$559.50,$1164.00,$100.50,25,
100,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,3,11705.00,11595.00,11/28/2022 11:00:00 AM,11/28/2022 2:30:00 PM,Long1,Stop loss,($660.00),$19233.00,$0.00,$660.00,$172.50,$832.50,15,
101,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,11590.25,11611.25,11/28/2022 3:30:00 PM,11/28/2022 4:15:00 PM,Short1,ExitShortAtClose,($42.00),$19191.00,$0.00,$63.00,$31.00,$73.00,4,
102,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,11617.50,11523.25,11/29/2022 11:00:00 AM,11/29/2022 4:15:00 PM,Short1,ExitShortAtClose,$188.50,$19379.50,$0.00,$27.00,$305.00,$116.50,22,
103,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,3,11753.25,12051.00,11/30/2022 2:15:00 PM,11/30/2022 4:15:00 PM,Long1,ExitLongAtClose,$1786.50,$21166.00,$0.00,$12.00,$1795.50,$9.00,9,
104,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,11723.00,11562.50,12/6/2022 10:00:00 AM,12/6/2022 4:15:00 PM,Short1,ExitShortAtClose,$321.00,$21487.00,$0.00,$26.00,$442.00,$121.00,26,
105,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,3,11704.25,11594.25,12/9/2022 11:15:00 AM,12/9/2022 4:00:00 PM,Long1,Stop loss,($660.00),$20827.00,$0.00,$660.00,$85.50,$745.50,20,
106,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,3,11761.25,11834.00,12/12/2022 3:15:00 PM,12/12/2022 4:15:00 PM,Long1,ExitLongAtClose,$436.50,$21263.50,$0.00,$1.50,$438.00,$1.50,5,
107,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,3,11977.75,11865.25,12/14/2022 3:30:00 PM,12/14/2022 3:30:00 PM,Long1,Stop loss,($675.00),$20588.50,$0.00,$675.00,$0.00,$675.00,1,
108,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,11836.75,11861.75,12/14/2022 3:45:00 PM,12/14/2022 4:15:00 PM,Short1,ExitShortAtClose,($50.00),$20538.50,$0.00,$157.50,$68.00,$118.00,3,
109,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,12212.25,12169.50,3/7/2023 10:30:00 AM,3/7/2023 4:15:00 PM,Short1,ExitShortAtClose,$85.50,$20624.00,$0.00,$213.50,$140.00,$54.50,24,
110,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,3,12178.50,12231.00,3/8/2023 10:15:00 AM,3/8/2023 4:15:00 PM,Long1,ExitLongAtClose,$315.00,$20939.00,$0.00,$420.00,$456.00,$141.00,25,
111,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,12099.25,12054.75,3/13/2023 1:30:00 PM,3/13/2023 4:15:00 PM,Short1,ExitShortAtClose,$89.00,$21028.00,$0.00,$231.50,$98.50,$9.50,12,
112,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,3,13027.75,13088.00,4/21/2023 10:30:00 AM,4/21/2023 4:15:00 PM,Long1,ExitLongAtClose,$361.50,$21389.50,$0.00,$144.00,$564.00,$202.50,24,
113,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,3,13125.00,13001.75,4/24/2023 10:00:00 AM,4/24/2023 11:30:00 AM,Long1,Stop loss,($739.50),$20650.00,$0.00,$739.50,$45.00,$784.50,7,
114,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,3,13168.25,13231.50,4/27/2023 1:00:00 PM,4/27/2023 4:15:00 PM,Long1,ExitLongAtClose,$379.50,$21029.50,$0.00,$46.50,$510.00,$130.50,14,
115,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,3,13134.00,13184.75,5/2/2023 11:45:00 AM,5/2/2023 4:15:00 PM,Long1,ExitLongAtClose,$304.50,$21334.00,$0.00,$138.00,$528.00,$223.50,19,
116,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,3,13091.75,13048.25,5/4/2023 11:30:00 AM,5/4/2023 4:15:00 PM,Long1,ExitLongAtClose,($261.00),$21073.00,$0.00,$367.50,$237.00,$498.00,20,
117,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,2,14941.25,14857.75,6/26/2023 3:00:00 PM,6/26/2023 4:15:00 PM,Long1,ExitLongAtClose,($334.00),$20739.00,$0.00,$351.00,$27.00,$361.00,6,
118,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,14909.50,15109.75,6/27/2023 10:30:00 AM,6/27/2023 4:15:00 PM,Short1,ExitShortAtClose,($400.50),$20338.50,$0.00,$460.50,$39.50,$440.00,24,
119,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,2,15182.50,15139.25,6/28/2023 11:00:00 AM,6/28/2023 4:15:00 PM,Long1,ExitLongAtClose,($173.00),$20165.50,$0.00,$494.00,$145.00,$318.00,22,
120,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,15061.75,15102.75,6/29/2023 10:30:00 AM,6/29/2023 4:15:00 PM,Short1,ExitShortAtClose,($82.00),$20083.50,$0.00,$156.50,$66.50,$148.50,24,
121,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,15069.00,15190.25,7/10/2023 12:30:00 PM,7/10/2023 4:15:00 PM,Short1,ExitShortAtClose,($242.50),$19841.00,$0.00,$247.50,$11.00,$253.50,16,
122,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,15549.00,15565.75,7/27/2023 3:15:00 PM,7/27/2023 4:15:00 PM,Short1,ExitShortAtClose,($33.50),$19807.50,$0.00,$133.50,$73.00,$106.50,5,
123,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,2,15780.00,15816.75,8/1/2023 10:45:00 AM,8/1/2023 4:15:00 PM,Long1,ExitLongAtClose,$147.00,$19954.50,$0.00,$14.00,$277.00,$130.00,23,
124,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,15607.50,15468.00,8/2/2023 10:00:00 AM,8/2/2023 4:15:00 PM,Short1,ExitShortAtClose,$279.00,$20233.50,$0.00,$30.50,$388.50,$109.50,26,
125,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,15217.50,14859.25,8/24/2023 10:00:00 AM,8/24/2023 4:15:00 PM,Short1,ExitShortAtClose,$716.50,$20950.00,$0.00,$34.50,$724.50,$8.00,26,
126,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,15384.50,15391.75,9/15/2023 1:45:00 PM,9/15/2023 4:15:00 PM,Short1,ExitShortAtClose,($14.50),$20935.50,$0.00,$58.00,$55.50,$70.00,11,
127,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,15383.75,15413.00,9/18/2023 11:00:00 AM,9/18/2023 4:15:00 PM,Short1,ExitShortAtClose,($58.50),$20877.00,$0.00,$154.00,$39.00,$97.50,22,
128,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,15366.75,15377.25,9/19/2023 2:30:00 PM,9/19/2023 4:15:00 PM,Short1,ExitShortAtClose,($21.00),$20856.00,$0.00,$82.50,$58.00,$79.00,8,
129,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,15373.00,15152.25,9/20/2023 10:30:00 AM,9/20/2023 4:15:00 PM,Short1,ExitShortAtClose,$441.50,$21297.50,$0.00,$38.00,$449.50,$8.00,24,
130,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,2,15004.50,15113.25,10/6/2023 12:00:00 PM,10/6/2023 4:15:00 PM,Long1,ExitLongAtClose,$435.00,$21732.50,$0.00,$42.00,$624.00,$189.00,18,
131,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,14958.00,14885.75,10/19/2023 1:00:00 PM,10/19/2023 4:15:00 PM,Short1,ExitShortAtClose,$144.50,$21877.00,$0.00,$320.00,$212.00,$67.50,14,
132,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,2,15910.25,16025.00,12/1/2023 11:00:00 AM,12/1/2023 4:15:00 PM,Long1,ExitLongAtClose,$459.00,$22336.00,$0.00,$109.00,$559.00,$100.00,22,
133,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,15919.75,15911.75,12/5/2023 11:30:00 AM,12/5/2023 4:15:00 PM,Short1,ExitShortAtClose,$16.00,$22352.00,$0.00,$3.50,$184.50,$168.50,20,
134,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,15896.25,15815.25,12/6/2023 10:45:00 AM,12/6/2023 4:15:00 PM,Short1,ExitShortAtClose,$162.00,$22514.00,$0.00,$107.00,$188.50,$26.50,23,
135,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,2,16013.00,16036.00,12/7/2023 12:00:00 PM,12/7/2023 4:15:00 PM,Long1,ExitLongAtClose,$92.00,$22606.00,$0.00,$12.00,$211.00,$119.00,18,
136,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,2,16023.00,16099.00,12/8/2023 10:00:00 AM,12/8/2023 4:15:00 PM,Long1,ExitLongAtClose,$304.00,$22910.00,$0.00,$185.00,$384.00,$80.00,26,
137,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,16723.50,16720.75,1/2/2024 10:45:00 AM,1/2/2024 4:15:00 PM,Short1,ExitShortAtClose,$5.50,$22915.50,$0.00,$128.50,$203.00,$197.50,23,
138,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,2,16981.75,16972.00,1/12/2024 11:30:00 AM,1/12/2024 4:15:00 PM,Long1,ExitLongAtClose,($39.00),$22876.50,$0.00,$258.00,$54.00,$93.00,20,
139,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,2,18094.25,18058.50,3/15/2024 10:15:00 AM,3/15/2024 4:15:00 PM,Long1,ExitLongAtClose,($143.00),$22733.50,$0.00,$352.00,$308.00,$451.00,25,
140,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,18066.25,18270.00,3/19/2024 10:00:00 AM,3/19/2024 4:15:00 PM,Short1,ExitShortAtClose,($407.50),$22326.00,$0.00,$446.50,$18.00,$425.50,26,
141,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,2,18416.75,18370.75,4/3/2024 11:00:00 AM,4/3/2024 4:15:00 PM,Long1,ExitLongAtClose,($184.00),$22142.00,$0.00,$454.00,$141.00,$325.00,22,
142,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,18416.25,18075.50,4/4/2024 2:30:00 PM,4/4/2024 4:15:00 PM,Short1,ExitShortAtClose,$681.50,$22823.50,$0.00,$5.00,$707.50,$26.00,8,
143,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,2,18504.25,18482.00,4/11/2024 3:00:00 PM,4/11/2024 4:15:00 PM,Long1,ExitLongAtClose,($89.00),$22734.50,$0.00,$108.00,$60.00,$149.00,6,
144,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,2,17721.25,17554.75,5/1/2024 3:00:00 PM,5/1/2024 3:45:00 PM,Long1,Stop loss,($666.00),$22068.50,$0.00,$666.00,$282.00,$948.00,4,
145,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,2,17528.75,17648.25,5/2/2024 11:15:00 AM,5/2/2024 4:15:00 PM,Long1,ExitLongAtClose,$478.00,$22546.50,$0.00,$161.00,$628.00,$150.00,21,
146,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,18543.50,18598.75,5/31/2024 10:15:00 AM,5/31/2024 4:15:00 PM,Short1,ExitShortAtClose,($110.50),$22436.00,$0.00,$115.00,$604.50,$715.00,25,
147,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,18653.25,18701.25,6/4/2024 3:30:00 PM,6/4/2024 4:15:00 PM,Short1,ExitShortAtClose,($96.00),$22340.00,$0.00,$121.00,$23.00,$119.00,4,
148,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,19820.75,20049.25,7/1/2024 10:30:00 AM,7/1/2024 4:15:00 PM,Short1,ExitShortAtClose,($457.00),$21883.00,$0.00,$506.50,$18.50,$475.50,24,
149,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Long,2,20070.50,20256.25,7/2/2024 10:00:00 AM,7/2/2024 4:15:00 PM,Long1,ExitLongAtClose,$743.00,$22626.00,$0.00,$222.00,$756.00,$13.00,26,
150,MNQ SEP24,S1Aug156063576!TopstepTrader!TopstepTrader,EMABasedStrategyMNQ,Short,1,19028.75,19108.00,8/14/2024 10:15:00 AM,8/14/2024 4:15:00 PM,Short1,ExitShortAtClose,($158.50),$22467.50,$0.00,$350.00,$206.50,$365.00,25,
